 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.17010E-01      -0.42566E-01      -0.63144E-02       0.11551E+01      -0.17096E+00      -0.15601E+01
      0      1       0.77548E-02      -0.19559E-02      -0.19071E+00       0.17519E+01       0.19793E+00       0.12949E+01
      0      1       0.80290E-02      -0.27285E-03       0.13716E+00       0.35035E+01      -0.17396E+00       0.91523E+00
      0      1       0.44167E-02       0.24730E-02      -0.49984E-01       0.33296E+01       0.16841E+00       0.36431E+00
      0      1      -0.33610E-01      -0.11180E-02      -0.13530E+00      -0.11433E+01      -0.84944E-02       0.34076E+01
      0      1       0.56986E-01      -0.40608E-02       0.21431E-01      -0.24308E+00       0.68828E-01      -0.82822E+00
      0      1       0.16240E-01       0.14828E-01       0.59343E-01      -0.16666E+01      -0.29218E+00      -0.23765E+01
      0      1       0.14175E-01      -0.37601E-01      -0.11715E+00      -0.41889E+00       0.16782E+00       0.21934E+01
      0      1       0.17607E-01      -0.12641E-01       0.26060E+00       0.30652E+01       0.13960E+00       0.22041E+01
      0      1       0.54639E-01      -0.89019E-02      -0.18464E+00       0.12135E+00       0.17194E+00      -0.60656E+00
      0      1       0.45690E-01       0.58181E-02      -0.24136E-01      -0.14965E+01       0.27919E+00      -0.15724E+00
      0      1      -0.35426E-01      -0.56189E-02       0.28948E+00       0.18481E+01      -0.10025E+00      -0.29563E+01
      0      1      -0.64368E-01      -0.45910E-01      -0.46824E-01      -0.12306E+01       0.90880E-01       0.17165E+01
      0      1       0.43324E-01       0.70973E-02      -0.11293E+00      -0.20865E+01      -0.22356E+00       0.82262E+00
      0      1      -0.55373E-01      -0.19766E-01       0.13583E+00       0.28063E+01      -0.17549E+00      -0.25337E+01
      0      1      -0.28828E-01       0.16785E-01       0.22587E+00       0.13698E+00       0.20619E+00      -0.38797E+00
      0      1      -0.57319E-01       0.12231E-01      -0.18545E+00      -0.32667E+01      -0.94354E-01       0.18792E+00
      0      1      -0.28235E-01       0.32533E-01       0.50554E-01       0.83937E+00       0.14994E+00       0.17193E+01
      0      1       0.25054E-02       0.60564E-02       0.29969E+00       0.50401E+00       0.92257E-01       0.61687E-01
      0      1       0.40479E-01       0.53649E-02       0.72085E-02       0.79264E+00       0.32222E-02      -0.97239E+00
      0      1       0.91792E-01       0.59043E-02      -0.20236E-01       0.19027E+01      -0.77562E-01      -0.17127E+01
      0      1       0.38358E-01      -0.40305E-02      -0.21455E+00      -0.25511E+01      -0.20506E+00      -0.22255E+01
      0      1       0.20161E-01       0.29171E-01       0.57878E-01       0.56192E+00       0.31253E+00       0.11830E+01
      0      1       0.72992E-01       0.84376E-02      -0.49687E-01      -0.17026E+01       0.13155E+00      -0.29841E+00
